,Architecture,n_h_l,n_n,Run,Status,K,K1,K2,K3,K4,K5,K6,K7,K8
51,DLGN-SF,5,64,mean,Learned,128.65,107.69,105.15,108.06,95.34,90.33,,,
52,DLGN-SF,5,128,mean,UnLearned,138.81,89.1,85.32,93.37,90.07,93.4,,,
53,DLGN-SF,5,128,mean,Learned,139.29,104.81,87.37,91.34,103.91,89.43,,,
0,DLGN,6,32,mean,UnLearned,109.6,73.1,74.66,64.56,56.04,50.23,42.52,Null,Null
1,DLGN,6,32,mean,Learned,124.53,110.49,86.48,81.9,80.21,83.6,83.12,Null,Null
2,DLGN,6,64,mean,UnLearned,124.72,89.61,95.99,87.94,72.95,65.78,58.87,Null,Null
3,DLGN,6,64,mean,Learned,110.83,112.53,92.92,91.75,97.06,100.32,99.88,Null,Null
4,DLGN,6,128,mean,UnLearned,131.43,90.72,91.01,79.03,78.26,59.22,54.25,Null,Null
5,DLGN,6,128,mean,Learned,109.26,121.2,99.52,93.72,93.67,93.67,94.24,Null,Null
6,DLGN,7,32,mean,UnLearned,125.31,83.35,78.99,67.95,59.61,52.81,43.89,45.91,Null
7,DLGN,7,32,mean,Learned,141.98,124.12,106.36,98.74,95.25,94.31,94.15,94.41,Null
8,DLGN,7,64,mean,UnLearned,118.69,74.75,69.14,63.36,46.74,36.0,29.87,26.77,Null
9,DLGN,7,64,mean,Learned,120.46,108.8,98.09,96.4,94.79,94.55,93.97,93.28,Null
10,DLGN,7,128,mean,UnLearned,114.82,64.78,66.13,65.6,57.68,47.79,36.41,32.65,Null
11,DLGN,7,128,mean,Learned,93.64,81.86,67.46,68.31,68.32,68.53,69.17,69.3,Null
12,DLGN,8,32,mean,UnLearned,107.92,72.25,69.79,60.2,51.96,39.87,37.53,37.46,36.04
13,DLGN,8,32,mean,Learned,105.3,90.43,71.37,68.22,69.07,68.87,68.05,71.0,71.88
14,DLGN,8,64,mean,UnLearned,99.56,74.97,69.62,61.35,53.87,43.31,37.2,34.87,34.05
15,DLGN,8,64,mean,Learned,73.56,88.15,80.97,80.5,77.88,78.53,78.1,78.36,78.37
16,DLGN,8,128,mean,UnLearned,111.05,73.37,81.85,65.08,63.05,55.56,45.52,40.97,38.55
17,DLGN,8,128,mean,Learned,93.86,106.04,78.22,63.23,58.24,59.91,61.73,63.37,64.32
18,DLGN-SF,6,32,mean,UnLearned,107.07,74.47,70.93,68.21,56.55,53.13,61.55,Null,Null
19,DLGN-SF,6,32,mean,Learned,119.71,79.53,84.94,86.47,88.37,85.77,86.47,Null,Null
20,DLGN-SF,6,64,mean,UnLearned,127.29,73.22,73.32,74.98,72.07,69.64,77.96,Null,Null
21,DLGN-SF,6,64,mean,Learned,133.13,100.31,102.16,98.05,105.4,91.95,86.96,Null,Null
22,DLGN-SF,6,128,mean,UnLearned,138.7,78.66,81.51,78.41,87.77,91.35,87.17,Null,Null
23,DLGN-SF,6,128,mean,Learned,137.79,102.68,88.84,77.6,92.42,100.48,91.7,Null,Null
24,DLGN-SF,7,32,mean,UnLearned,121.58,67.13,79.94,78.42,71.32,66.74,82.99,86.51,Null
25,DLGN-SF,7,32,mean,Learned,129.93,108.25,107.44,108.04,109.75,110.35,108.43,111.27,Null
26,DLGN-SF,7,64,mean,UnLearned,140.54,85.65,78.89,86.94,89.78,81.85,85.72,84.21,Null
27,DLGN-SF,7,64,mean,Learned,138.93,105.22,99.51,110.04,111.75,118.19,102.68,94.92,Null
28,DLGN-SF,7,128,mean,UnLearned,124.56,72.81,71.53,83.42,74.38,71.4,83.68,75.79,Null
29,DLGN-SF,7,128,mean,Learned,130.77,94.88,82.05,79.48,80.21,88.73,89.69,78.69,Null
30,DLGN-SF,8,32,mean,UnLearned,125.34,64.82,73.36,57.05,49.89,66.49,58.98,54.09,61.13
31,DLGN-SF,8,32,mean,Learned,131.96,91.81,91.12,94.55,90.63,95.07,93.17,98.1,87.69
